BTC-USD
ETH-USD
ADA-USD
BNB-USD
USDT-USD
XRP-USD
HEX-USD
SOL1-USD
DOGE-USD
DOT1-USD
USDC-USD
UNI3-USD
LTC-USD
LINK-USD
BCH-USD
LUNA1-USD
ICP1-USD
MATIC-USD
VET-USD
ETC-USD
XLM-USD
FIL-USD
AVAX-USD
THETA-USD
TRX-USD
XMR-USD
ATOM1-USD
EOS-USD
AAVE-USD
MIOTA-USD
XTZ-USD
GRT2-USD
CRO-USD
ALGO-USD
NEO-USD
BSV-USD
MKR-USD
KSM-USD
EGLD-USD
WAVES-USD
BTT1-USD
SHIB-USD
HBAR-USD
COMP-USD
DASH-USD
QNT-USD
CHZ-USD
RUNE-USD
CTC1-USD
AMP1-USD
DCR-USD
HNT1-USD
HOT1-USD
STX1-USD
TFUEL-USD
ZEC-USD
XEM-USD
AR-USD
CCXX-USD
MANA-USD
XDC-USD
ENJ-USD
SUSHI-USD
CELO-USD
YFI-USD
CEL-USD
SNX-USD
BTG-USD
ZIL-USD
RVN-USD
TUSD-USD
BAT-USD
QTUM-USD
ONE2-USD
ZEN-USD
SC-USD
ICX-USD
BNT-USD
ONT-USD
ZRX-USD
OMG-USD
DGB-USD
CRV-USD
IOST-USD
SAND-USD
NANO-USD
ANKR-USD
DFI-USD
XWC-USD
VGX-USD
UMA-USD
IOTX-USD
KAVA-USD
GLM-USD
LRC-USD
RSR-USD
WAXP-USD
ERG-USD
ARRR-USD
LSK-USD
STORJ-USD
FET-USD
BCD-USD
VTHO-USD
MED-USD
XVG-USD
GNO-USD
CKB-USD
SRM-USD
RLC-USD
CVC-USD
ARDR-USD
DAG-USD
SNT-USD
EWT-USD
BAND-USD
NKN-USD
REP-USD
STRAX-USD
HIVE-USD
XCH-USD
TWT-USD
COTI-USD
MIR1-USD
FUN-USD
TOMO-USD
OXT-USD
ACH-USD
STEEM-USD
ANT-USD
MTL-USD
MAID-USD
ETN-USD
BAL-USD
ARK-USD
NU-USD
PHA-USD
WAN-USD
VRA-USD
SAPP-USD
MLN-USD
VLX-USD
BTS-USD
AVA-USD
META-USD
KIN-USD
SYS-USD
KMD-USD
MCO-USD
DERO-USD
IRIS-USD
HNS-USD
PPT-USD
ABBC-USD
XNC-USD
PAC-USD
DIVI-USD
DNT-USD
WOZX-USD
BTM-USD
GAS-USD
KDA-USD
FIRO-USD
MONA-USD
TT-USD
CRU-USD
AION-USD
NYE-USD
RBTC-USD
XHV-USD
RDD-USD
GRS-USD
DMCH-USD
FIO-USD
NRG-USD
BEPRO-USD
SBD-USD
WTC-USD
ADX-USD
MARO-USD
ELA-USD
BEAM-USD
BCN-USD
NULS-USD
MASS-USD
REV-USD
ATRI-USD
DGD-USD
SERO-USD
PIVX-USD
NXS-USD
AXEL-USD
ZNN-USD
CET-USD
GXC-USD
APL-USD
PCX-USD
VSYS-USD
AE-USD
VERI-USD
VITE-USD
ZEL-USD
SRK-USD
GO-USD
XCP-USD
MWC-USD
FO-USD
LOKI-USD
PAI-USD
HC-USD
CTXC-USD
NIM-USD
KRT-USD
VTC-USD
WICC-USD
NAV-USD
SOLVE-USD
FSN-USD
SKY-USD
VAL1-USD
NAS-USD
MHC-USD
CUT-USD
GRIN-USD
ZANO-USD
NEBL-USD
WABI-USD
XSN-USD
PPC-USD
GAME-USD
QASH-USD
SALT-USD
GBYTE-USD
NMC-USD
LBC-USD
BTC2-USD
ETP-USD
RSTR-USD
NXT-USD
PZM-USD
OBSR-USD
BIP-USD
FCT-USD
DNA1-USD
QRL-USD
PART-USD
DCN-USD
ADK-USD
DTEP-USD
BHD-USD
PAY-USD
TRUE-USD
UBQ-USD
YOYOW-USD
MAN-USD
TRTL-USD
ACT-USD
CHI-USD
AEON-USD
NVT-USD
BHP-USD
POA-USD
EMC2-USD
MRX-USD
BLOCK-USD
CMT1-USD
DMD-USD
HPB-USD
RINGX-USD
NLG-USD
PLC-USD
GHOST1-USD
AMB-USD
LCC-USD
HTDF-USD
SMART-USD
SCC3-USD
PI-USD
QRK-USD
INSTAR-USD
WGR-USD
HTML-USD
XDN-USD
INT-USD
ZYN-USD
XMY-USD
XMC-USD
IDNA-USD
VIA-USD
NYZO-USD
VEX-USD
FLO-USD
MIR-USD
FTC-USD
SFT-USD
WINGS-USD
BTX-USD
USNBT-USD
PMEER-USD
BLK-USD
XST-USD
DYN-USD
GRC-USD
ILC-USD
TERA-USD
VIN-USD
GLEEC-USD
CURE-USD
POLIS-USD
OTO-USD
PHR-USD
GHOST-USD
IOC-USD
OWC-USD
AYA-USD
BPS-USD
CRW-USD
SCP-USD
TUBE-USD
NIX-USD
DIME-USD
FAIR-USD
XLT-USD
COLX-USD
SUB-USD
SONO1-USD
MGO-USD
GCC1-USD
BCA-USD
XAS-USD
XRC-USD
DDK-USD
XBY-USD
EDG-USD
ERK-USD
SNGLS-USD
MBC-USD
HYC-USD
BPC-USD
FRST-USD
ATB-USD
COMP1-USD
OURO-USD
FLASH-USD
ECA-USD
NLC2-USD
BDX-USD
CSC-USD
LKK-USD
MOAC-USD
UNO-USD
ALIAS-USD
ECC-USD
CLAM-USD
BONO-USD
AIB-USD
SPHR-USD
HNC-USD
DUN-USD
MINT-USD
RBY-USD
DACC-USD
XUC-USD
JDC-USD
DCY-USD
MIDAS-USD
SHIFT-USD
SLS-USD
MTC2-USD
CCA-USD
GRN-USD
KNC-USD
LRG-USD
BRC-USD
BONFIRE-USD
BST-USD
VBK-USD
